Price_Total,Area,Price_Meter,Rooms,Floor_Live,Floor_Total,Zone,Neighborhood,Distance,Time
140080000,164.1,853626,3,14,14,ЗАО,Раменки,8.0,22.0
140070000,157.6,888769,4,20,21,ЦАО,Пресненский район,4.7,11.0
139900000,122.8,1139251,2,11,13,ЦАО,Арбат,0.0,10.0
139372000,119.6,1165318,3,4,18,ЦАО,Хамовники,3.0,14.0
139344000,133.0,1047699,3,9,18,ЦАО,Хамовники,3.0,17.0
139050562,148.9,933852,4,27,32,ЮАО,Даниловский район,0.0,11.0
139020000,167.5,829970,3,14,14,ЗАО,Раменки,8.0,22.0
138844320,166.8,832400,3,5,5,СЗАО,Покровское-Стрешнево,1.0,13.0
138762279,116.5,1191502,3,9,13,ЗАО,Дорогомилово,7.0,15.0
138522701,117.1,1182843,3,10,13,ЗАО,Дорогомилово,7.0,15.0
138450000,133.0,1040977,4,2,8,СЗАО,Хорошёво-Мнёвники,7.7,24.0
138440000,195.8,707048,4,13,13,ЗАО,Раменки,9.0,22.0
138383000,114.0,1213886,2,11,18,ЦАО,Хамовники,4.0,17.0
138370000,161.7,855720,4,17,23,ЦАО,Пресненский район,4.7,11.0
138061977,188.7,731648,5,7,11,ЮАО,Даниловский район,3.7,13.0
137660000,157.6,873477,4,19,21,ЦАО,Пресненский район,4.7,11.0
137110000,192.3,713001,3,13,13,ЗАО,Раменки,9.0,22.0
136980000,162.0,845556,4,14,23,ЦАО,Пресненский район,4.8,11.0
136497000,157.8,865000,3,2,21,ЦАО,Пресненский район,4.2,7.0
136497000,157.8,865000,3,2,21,ЦАО,Пресненский район,4.3,9.0
136488476,128.0,1066483,3,2,13,ЗАО,Дорогомилово,7.1,15.0
136310000,167.5,813791,3,14,14,ЗАО,Раменки,8.0,22.0
135667368,116.9,1160741,3,8,13,ЗАО,Дорогомилово,7.0,15.0
135470000,141.0,960780,4,20,21,ЦАО,Пресненский район,4.6,11.0
